cluster,n_participants,n_applicants,pct_of_total,application_rate,lift_vs_baseline,avg_confidence,avg_campaign_count,avg_email_count,avg_text_count
0,448,105,5.994915027432088,23.4375,7.2978515625,99.53408546535515,23.950892857142858,16.950892857142858,7.0
1,1068,8,14.291449217181853,0.7490636704119851,0.23323970037453184,99.99999469409974,33.70786516853933,20.0,13.707865168539326
2,1345,11,17.99812658905393,0.8178438661710037,0.25465613382899627,99.999738845753,12.338289962825279,12.0,0.3382899628252788
3,545,43,7.292921182925198,7.889908256880735,2.4567201834862384,99.99786752194272,5.477064220183486,0.9926605504587156,4.48440366972477
4,436,17,5.834336946340158,3.89908256880734,1.2140768348623854,100.0,59.67660550458716,35.924311926605505,23.75229357798165
5,1566,30,20.95543958249699,1.9157088122605364,0.5965038314176244,99.99999999999994,19.12899106002554,19.12899106002554,0.0
6,415,9,5.553325304429279,2.1686746987951806,0.6752710843373494,99.55699217736085,20.686746987951807,19.08433734939759,1.6024096385542168
7,868,2,11.615147865649671,0.2304147465437788,0.07174539170506912,99.99997800765749,21.327188940092167,10.119815668202765,11.2073732718894
8,462,15,6.182256122039342,3.2467532467532463,1.0109577922077921,100.0,37.12337662337662,36.0,1.1233766233766234
9,320,0,4.282082162451492,0.0,0.0,99.99999960322435,27.98125,15.290625,12.690625
