cluster,estimated_income,household_size,total_energy_burden,living_area_sqft,house_age,campaign_count,email_count,total_text_count,exposure_days,msgtype_informational_count,msgtype_motivational_struggle_count,msgtype_personalized_qualified_count,msgtype_relief_reassurance_count,msgtype_savings_financial_count,msgtype_urgency_deadline_count
0,40024.75247524752,4.839108910891089,7.465309474757,1557.4876237623762,68.16089108910892,60.46287128712871,35.995049504950494,24.467821782178216,159.92079207920793,12.990099009900991,27.405940594059405,26.386138613861387,16.725247524752476,35.54950495049505,25.47029702970297
1,24586.267605633802,3.9943661971830986,12.662531892743667,1227.6028169014085,79.69859154929577,20.151408450704224,20.0,0.15140845070422534,159.0,2.3549295774647887,9.404225352112675,11.102112676056338,1.0908450704225352,13.995774647887323,3.7098591549295774
2,30071.115973741795,4.579868708971554,11.194302961524523,1325.215900802334,74.6433260393873,32.454412837345004,19.13056163384391,13.323851203501095,152.37709700948213,6.301969365426696,12.88694383661561,14.7600291757841,9.797957695113055,20.60977388767323,12.017505470459518
3,29880.13698630137,4.636986301369863,10.082143527051336,1306.8698630136987,74.16095890410959,26.29794520547945,18.222602739726028,8.075342465753424,155.0068493150685,5.0034246575342465,11.25,12.976027397260275,6.571917808219178,17.363013698630137,6.226027397260274
4,27627.504553734063,3.916211293260474,12.054258426296098,1343.0564663023679,74.60655737704919,6.327868852459017,0.604735883424408,5.723132969034609,62.799635701275044,1.6539162112932604,1.3934426229508197,2.255009107468124,3.639344262295082,4.1602914389799635,3.5209471766848814
5,19054.834054834057,3.715007215007215,17.571656106575272,1276.0555555555557,75.62481962481962,12.440836940836942,12.0,0.44083694083694086,159.0,2.424963924963925,7.172438672438672,4.049062049062049,1.4076479076479076,8.033189033189034,2.015873015873016
6,31377.649325626204,4.5221579961464355,14.514267806721218,1465.6512524084778,79.95183044315992,17.423892100192678,16.583815028901736,0.8400770712909441,129.96339113680153,2.3815028901734103,11.173410404624278,8.79383429672447,1.8400770712909442,9.044315992292871,5.851637764932563
7,19178.08219178082,4.034246575342466,32.902167130403846,1354.7671232876712,99.8972602739726,22.753424657534246,16.54794520547945,6.205479452054795,129.06164383561645,4.054794520547945,10.212328767123287,11.349315068493151,4.794520547945205,14.383561643835616,7.061643835616438
8,36845.11434511434,4.392931392931393,7.806775211055212,1506.889812889813,68.35966735966736,37.555093555093556,36.0,1.5550935550935552,159.0,5.586278586278587,21.767151767151766,19.453222453222452,2.916839916839917,21.010395010395012,11.037422037422038
9,21149.490373725934,4.13929784824462,15.642717268462002,1332.8652321630805,71.80294450736127,21.65911664779162,10.97281993204983,10.68629671574179,154.8652321630804,5.828992072480181,8.36013590033975,6.599093997734994,7.731596828992073,13.086070215175537,9.514156285390714
