cid,action,Full name,Shortened name,account,type,status,sent_time,sent,delivered,received,dnd,bad,spam,landline,err,skipped,replies,responses,delivered_percent,replies_percent
c_zjtlzwbdahbqh4ptde,47,64029_EmpowerSaves_OH_Text45_Act_Today_IMPACT_Morning,Text45_Act_Today_IMPACT_Morning,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-20 13:47:49 GMT-0000,391,375,3,2,1,0,0,16,0,1,0,96,0
c_zjtlzwbdahbqh4ptde,46,64030_EmpowerSaves_OH_Text46_Act_Today_OHCAC_Morning,Text46_Act_Today_OHCAC_Morning,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-20 13:45:27 GMT-0000,488,480,5,3,1,0,0,8,0,2,0,98,0
c_zjtlzwbdahbqh4ptde,48,64037_EmpowerSaves_OH_Text47_Act_Today_MVCAP_Evening,Text47_Act_Today_MVCAP_Evening,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-20 21:04:19 GMT-0000,397,393,3,3,1,0,0,4,0,0,0,99,0
c_zjtlzwbdahbqh4ptde,51,64038_EmpowerSaves_OH_Text48_Act_Today_COAD_Evening,Text48_Act_Today_COAD_Evening,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-20 21:07:24 GMT-0000,459,454,6,6,1,0,0,5,0,0,0,99,0
c_zjtlzwbdahbqh4ptde,50,64039_EmpowerSaves_OH_Text49_Act_Today_IMPACT_Evening,Text49_Act_Today_IMPACT_Evening,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-20 21:05:52 GMT-0000,409,379,8,5,1,3,0,30,0,3,0,93,1
c_zjtlzwbdahbqh4ptde,49,64040_EmpowerSaves_OH_Text50_Act_Today_OHCAC_Evening,Text50_Act_Today_OHCAC_Evening,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-20 21:04:33 GMT-0000,479,470,6,4,1,0,0,9,0,2,0,98,0
c_zjtlzwbdahbqh4ptde,52,64098_EmpowerSaves_OH_Text51_Fight_Costs_OHCAC_Wednesday,Text51_Fight_Costs_OHCAC_Wednesday,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-27 22:02:08 GMT-0000,457,425,3,1,0,24,0,32,0,2,0,93,0
c_zjtlzwbdahbqh4ptde,53,64100_EmpowerSaves_OH_Text52_Fight_Costs_OHCAC_Friday,Text52_Fight_Costs_OHCAC_Friday,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-29 20:56:38 GMT-0000,498,481,6,6,0,11,0,17,0,0,0,97,0
c_zjtlzwbdahbqh4ptde,57,64101_EmpowerSaves_OH_Text53_Fight_Costs_COAD_Wednesday,Text53_Fight_Costs_COAD_Wednesday,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-27 22:27:28 GMT-0000,451,395,1,0,4,48,0,56,0,1,0,88,0
c_zjtlzwbdahbqh4ptde,54,64102_EmpowerSaves_OH_Text54_Fight_Costs_COAD_Friday,Text54_Fight_Costs_COAD_Friday,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-29 20:58:02 GMT-0000,450,405,4,4,2,31,0,45,0,0,0,90,0
c_zjtlzwbdahbqh4ptde,59,64103_EmpowerSaves_OH_Text55_Fight_Costs_IMPACT_Wednesday,Text55_Fight_Costs_IMPACT_Wednesday,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-27 22:28:31 GMT-0000,389,373,6,5,2,0,0,16,0,1,0,96,0
c_zjtlzwbdahbqh4ptde,55,64104_EmpowerSaves_OH_Text56_Fight_Costs_IMPACT_Friday,Text56_Fight_Costs_IMPACT_Friday,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-27 22:03:50 GMT-0000,400,353,2,2,2,20,0,47,0,0,0,88,0
c_zjtlzwbdahbqh4ptde,56,64105_EmpowerSaves_OH_Text57_Fight_Costs_MVCAP_Wednesday,Text57_Fight_Costs_MVCAP_Wednesday,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-27 22:04:53 GMT-0000,392,361,3,2,1,27,0,31,0,1,0,92,0
c_zjtlzwbdahbqh4ptde,58,64106_EmpowerSaves_OH_Text58_Fight_Costs_MVCAP_Friday,Text58_Fight_Costs_MVCAP_Friday,Ohio Partners for Affordable Energy,SMS,Archived,2025-08-29 20:59:28 GMT-0000,398,392,1,0,2,0,0,6,0,1,0,98,0
c_zjtlzwbdahbqh4ptde,60,64297_EmpowerSaves_OH_Text59_Yearly_Savings_IMPACT,Text59_Yearly_Savings_IMPACT,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-10 21:11:06 GMT-0000,767,723,4,1,4,3,0,44,0,3,0,94,0
c_zjtlzwbdahbqh4ptde,61,64298_EmpowerSaves_OH_Text60_Yearly_Savings_OHCAC,Text60_Yearly_Savings_OHCAC,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-10 21:16:23 GMT-0000,933,918,5,5,3,0,0,15,0,0,0,98,0
c_zjtlzwbdahbqh4ptde,62,64299_EmpowerSaves_OH_Text61_Yearly_Savings_MVCAP,Text61_Yearly_Savings_MVCAP,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-10 21:22:39 GMT-0000,774,765,9,9,2,0,0,9,0,0,0,99,0
